N,prob,se,qin_m3_s
412,0.6529126213592233,0.02345299628057215,3.0646000529123617e-06
413,0.6513317191283293,0.023449430974766736,1.767158499515903e-05
414,0.6521739130434783,0.02340790878513763,3.1270259213504055e-06
415,0.6506024096385542,0.023404196627649698,1.7788039666863557e-05
416,0.6514423076923077,0.023363002239777265,2.9254530065834416e-06
417,0.6522781774580336,0.023321923726551747,5.133325836606794e-06
418,0.6507177033492823,0.02331827701216518,1.84351190165932e-05
419,0.649164677804296,0.02331428413268202,1.6929038914524564e-05
420,0.6476190476190476,0.023309951726168343,2.0755566259133103e-05
421,0.6484560570071259,0.02326960640568056,5.639960198292491e-06
422,0.6469194312796208,0.023265145946379396,1.5867999649977598e-05
423,0.6477541371158393,0.023225114543185762,3.207818707246118e-06
424,0.6462264150943396,0.023220529888921707,1.6275455037694674e-05
425,0.6447058823529411,0.023215623928342984,1.640665141686881e-05
426,0.6455399061032864,0.023176103512400015,5.04976514099758e-06
427,0.6463700234192038,0.023136688640075082,5.6354791627803995e-06
428,0.6448598130841121,0.023131866727567698,1.2660494889994555e-05
429,0.6456876456876457,0.023092754587493616,5.658133402104771e-06
430,0.6441860465116279,0.023087819399653983,1.89437818421917e-05
431,0.642691415313225,0.023082579483856617,1.863595098214179e-05
432,0.6435185185185185,0.02304396135058879,5.438863556450912e-06
433,0.6443418013856813,0.02300544389699479,5.077114556506342e-06
434,0.6428571428571429,0.02300029236112992,1.86869677718466e-05
435,0.6413793103448275,0.022994846529414206,1.7502740892877054e-05
436,0.6422018348623854,0.0229568121728971,2.980803410043649e-06
437,0.6430205949656751,0.022918875406996494,5.212776009380185e-06
438,0.6415525114155252,0.022913520490317005,1.9151103886794092e-05
439,0.6400911161731208,0.02290788124565103,1.892343003626789e-05
440,0.6409090909090909,0.022870416982483446,5.010861814466573e-06
441,0.6417233560090703,0.02283304733727868,5.04368578470586e-06
442,0.6425339366515838,0.022795772257401533,5.447102139654007e-06
443,0.6433408577878104,0.022758591684454405,3.1979526583973323e-06
444,0.6441441441441441,0.022721505554425796,3.2334752584252096e-06
445,0.6449438202247191,0.022684513797835506,5.613512780076622e-06
446,0.6457399103139013,0.022647616339876525,3.1894619943771123e-06
447,0.6465324384787472,0.02261081310055369,5.314441751390388e-06
448,0.6473214285714286,0.02257410399481924,3.199006665846828e-06
449,0.6458797327394209,0.022569817615719648,1.7766636648815507e-05
